0开课系,1课程号,2课程名,3课序号,4学分,5考试类型,6教师,7周次,8星期,9节次,10校区,11教学楼,12教室,课容量,课余量
心理咨询中心,00L032T,大学生心理学,06,1.5,考试,牛勇* ,1-12周上,3,1,主校区,思源楼,SY207,120,120
心理咨询中心,00L032T,大学生心理学,07,1.5,考试,鲁小华* ,1-12周上,1,2,主校区,逸夫教学楼,YF411,120,120
心理咨询中心,00L032T,大学生心理学,08,1.5,考试,鲁小华* ,1-12周上,1,4,东校区,东教一楼,DQ216,120,120
心理咨询中心,00L032T,大学生心理学,09,1.5,考试,鲁小华* ,1-12周上,3,1,主校区,逸夫教学楼,YF411,120,120
心理咨询中心,00L032T,大学生心理学,10,1.5,考试,张驰* ,1-12周上,1,1,主校区,逸夫教学楼,YF510,120,120
心理咨询中心,00L032T,大学生心理学,11,1.5,考试,张驰* ,1-12周上,1,2,主校区,逸夫教学楼,YF510,120,120
心理咨询中心,00L032T,大学生心理学,12,1.5,考试,张驰* ,1-12周上,1,4,东校区,东教一楼,DQ414,120,120
心理咨询中心,00L032T,大学生心理学,13,1.5,考试,孙大强* ,1-12周上,1,1,主校区,逸夫教学楼,YF611,120,120
心理咨询中心,00L032T,大学生心理学,14,1.5,考试,孙大强* ,1-12周上,1,2,主校区,逸夫教学楼,YF611,120,120
心理咨询中心,00L032T,大学生心理学,15,1.5,考试,孙大强* ,1-12周上,3,1,主校区,逸夫教学楼,YF611,120,120
团委,00L036T,交响乐欣赏,01,2.0,考试,何腾* ,1-16周,1,1,主校区,第五教学楼,东阶梯,250,77
团委,00L036T,交响乐欣赏,02,2.0,考试,何腾* ,1-16周,1,2,主校区,第五教学楼,东阶梯,250,0
团委,00L036T,交响乐欣赏,03,2.0,考试,刘娜* ,1-16周,5,2,主校区,第五教学楼,东阶梯,250,19
团委,00L036T,交响乐欣赏,04,2.0,考试,何腾* ,1-16周,2,1,主校区,第五教学楼,东阶梯,250,71
团委,00L036T,交响乐欣赏,05,2.0,考试,何腾* ,1-16周,1,4,主校区,第五教学楼,东阶梯,250,0
团委,00L036T,交响乐欣赏,06,2.0,考试,关英馨* ,1-16周,1,5,主校区,学生活动服务中心,502,80,0
团委,00L037T,名曲欣赏,01,2.0,考试,赵亚宁* ,1-16周,1,4,主校区,学生活动服务中心,501,80,1
团委,00L037T,名曲欣赏,02,2.0,考试,关英馨* ,1-16周,1,4,主校区,学生活动服务中心,502,80,0
团委,00L037T,名曲欣赏,03,2.0,考试,孙姗姗* ,1-16周,1,2,主校区,学生活动服务中心,509,80,0
团委,00L040T,舞蹈欣赏,01,2.0,考试,刘姗* ,1-16周,3,4,主校区,学生活动服务中心,509,80,0
团委,00L041T,歌剧欣赏,01,2.0,考试,孙姗姗* ,1-16周,1,4,主校区,学生活动服务中心,509,80,0
团委,00L041T,歌剧欣赏,02,2.0,考试,赵亚宁* ,1-16周,1,5,主校区,学生活动服务中心,501,80,0
团委,00L045T,中外影视鉴赏,01,2.0,考试,刘景杨* ,1-16周,3,4,主校区,学生活动服务中心,502,80,0
团委,00L046T,电影音乐艺术,01,2.0,考试,何腾* ,1-16周,2,2,主校区,第五教学楼,东阶梯,250,1
招生就业处,00L051T,学业及职业生涯规划与设计,01,1.0,考查,邵丽* ,1-8周,4,5,主校区,逸夫教学楼,YF108,60,2
招生就业处,00L051T,学业及职业生涯规划与设计,02,1.0,考查,王巍* ,1-8周,4,5,主校区,逸夫教学楼,YF208,60,0
招生就业处,00L051T,学业及职业生涯规划与设计,03,1.0,考查,蒋明* ,1-8周,4,5,主校区,逸夫教学楼,YF308,60,1
招生就业处,00L051T,学业及职业生涯规划与设计,04,1.0,考查,谭洁* ,9-16周,2,6,主校区,逸夫教学楼,YF108,60,5
招生就业处,00L051T,学业及职业生涯规划与设计,05,1.0,考查,文映春* ,1-8周,2,4,主校区,逸夫教学楼,YF603,60,42
招生就业处,00L051T,学业及职业生涯规划与设计,06,1.0,考查,丁金凤* ,1-8周,2,4,主校区,逸夫教学楼,YF610,60,43
招生就业处,00L051T,学业及职业生涯规划与设计,07,1.0,考查,刘萍* ,1-8周,2,5,主校区,逸夫教学楼,YF106,60,17
招生就业处,00L051T,学业及职业生涯规划与设计,08,1.0,考查,耿梅芳* ,1-8周,2,5,主校区,逸夫教学楼,YF209,60,0
招生就业处,00L051T,学业及职业生涯规划与设计,09,1.0,考查,成阳* ,1-8周,2,5,主校区,逸夫教学楼,YF307,60,28
招生就业处,00L051T,学业及职业生涯规划与设计,10,1.0,考查,孙慧环* ,1-8周,2,5,主校区,逸夫教学楼,YF408,60,14
招生就业处,00L051T,学业及职业生涯规划与设计,11,1.0,考查,高永峰* ,1-8周,2,5,主校区,逸夫教学楼,YF409,60,28
招生就业处,00L051T,学业及职业生涯规划与设计,12,1.0,考查,董敬祝* ,9-16周,2,4,主校区,逸夫教学楼,YF106,60,41
招生就业处,00L051T,学业及职业生涯规划与设计,13,1.0,考查,王虹英* ,9-16周,2,5,主校区,逸夫教学楼,YF415,60,38
招生就业处,00L051T,学业及职业生涯规划与设计,14,1.0,考查,徐俊* ,9-16周,2,5,主校区,逸夫教学楼,YF508,60,37
招生就业处,00L051T,学业及职业生涯规划与设计,15,1.0,考查,田永静* ,9-16周,2,5,主校区,逸夫教学楼,YF106,60,31
招生就业处,00L051T,学业及职业生涯规划与设计,16,1.0,考查,丁鹏玉* ,9-16周,4,6,主校区,逸夫教学楼,YF104,60,0
招生就业处,00L051T,学业及职业生涯规划与设计,17,1.0,考查,李义明* ,9-16周,4,5,主校区,逸夫教学楼,YF104,60,0
招生就业处,00L051T,学业及职业生涯规划与设计,18,1.0,考查,杨玲* ,9-16周,4,5,主校区,逸夫教学楼,YF108,60,2
招生就业处,00L052T,大学生就业指导,01,1.0,考查,李涛* ,1-8周,4,5,主校区,逸夫教学楼,YF403,60,32
招生就业处,00L052T,大学生就业指导,02,1.0,考查,陈劲松* ,1-8周,2,5,主校区,逸夫教学楼,YF413,60,12
招生就业处,00L052T,大学生就业指导,03,1.0,考查,于亚光* ,1-8周,2,5,主校区,逸夫教学楼,YF415,60,31
招生就业处,00L052T,大学生就业指导,04,1.0,考查,赵岚* ,1-8周,2,5,主校区,逸夫教学楼,YF508,60,42
招生就业处,00L052T,大学生就业指导,05,1.0,考查,梁英* ,1-8周,4,5,主校区,逸夫教学楼,YF512,60,39
招生就业处,00L052T,大学生就业指导,06,1.0,考查,孙冬梅* ,1-8周,2,5,主校区,思源西楼,SX402,60,44
团委,00L073T,古筝演奏基础教学,01,2.0,考试,敖丽* ,1-16周,5,4,主校区,学生活动服务中心,501,20,0
团委,00L073T,古筝演奏基础教学,02,2.0,考试,敖丽* ,1-16周,5,5,主校区,学生活动服务中心,501,20,0
团委,00L076T,中国古典舞欣赏与实践,01,2.0,考试,刘姗* ,1-16周,3,2,主校区,学生活动服务中心,507,20,2
团委,00L079T,民族器乐欣赏,01,2.0,考试,敖丽* ,1-16周,5,2,主校区,学生活动服务中心,501,80,2
选培办,00L083T,军队基层文化工作,01,2.0,考试,选培办* ,9-16周,7,6,主校区,第九教学楼,中101,190,190
团委,00L088T,西方音乐史,01,2.0,考试,刘娜* ,1-16周,4,4,主校区,学生活动服务中心,509,80,0
团委,00L089T,小提琴演奏基础,01,2.0,考试,刘娜* ,1-16周,4,2,主校区,学生活动服务中心,502,20,0
团委,00L089T,小提琴演奏基础,02,2.0,考试,关英馨* ,1-16周,1,6,主校区,学生活动服务中心,502,20,0
招生就业处,00L090T,大学生KAB创业基础,01,1.0,考查,姚念龙* ,1-8周,4,5,主校区,逸夫教学楼,YF504,40,1
其他部处,00L093T,大学生安全教育,01,1.0,考试,王从* 黄宏 ,1-8周,3,5,主校区,思源楼,SY208,240,8
其他部处,00L093T,大学生安全教育,02,1.0,考试,王从* 黄宏 ,1-8周,3,5,主校区,思源楼,SY209,240,1
团委,00L111T,戏剧表演基础,01,2.0,考试,刘景杨* ,1-16周,2,5,主校区,学生活动服务中心,502,30,0
团委,00L111T,戏剧表演基础,02,2.0,考试,刘景杨* ,1-16周,2,6,主校区,学生活动服务中心,502,30,0
团委,00L112T,影视摄像基础,01,2.0,考试,刘景杨* ,1-16周,3,5,主校区,学生活动服务中心,502,50,0
团委,00L115T,长笛演奏基础,01,2.0,考试,郑彬* ,1-16周,2,4,主校区,学生活动服务中心,501,20,0
团委,00L123T,声乐演唱基础,01,2.0,考试,赵亚宁* ,1-16周,1,6,主校区,学生活动服务中心,501,30,0
团委,00L123T,声乐演唱基础,02,2.0,考试,孙姗姗* ,1-16周,1,5,主校区,学生活动服务中心,509,30,0
团委,00L129T,长笛演奏基础提高班,01,2.0,考试,郑彬* ,1-16周,2,5,主校区,学生活动服务中心,501,20,12
心理咨询中心,00L131T,大学生青春健康教育,01,1.0,考试,康俊* ,1-8周,3,4,主校区,机械楼,Z306,50,0
心理咨询中心,00L131T,大学生青春健康教育,02,1.0,考试,康俊* ,1-8周,5,4,主校区,机械楼,Z306,50,0
选培办,00S011T,综合训练 Ⅱ,01,2.0,考查,选培办* ,1周上,6,1,主校区,,不要教室,150,150
选培办,00S012T,综合训练 Ⅲ,01,2.0,考查,选培办* ,1周上,6,1,主校区,,不要教室,150,150
选培办,00S015T,国旗仪仗队训练,01,1.0,考查,选培办* ,1周上,6,1,主校区,,不要教室,20,20
选培办,00S035T,队列Ⅱ,01,2.0,考查,选培办* ,1周上,6,1,主校区,,不要教室,50,50
选培办,00S037T,军事体育Ⅱ,01,2.0,考查,选培办* ,1周上,6,1,主校区,,不要教室,50,50
团委,00S048T,舞蹈训练,01,2.0,考试,刘姗* ,1-16周,3,5,主校区,学生活动服务中心,507,20,0
其他部处,00S052T,科技文献检索,01,1.0,考试,邓要武* ,1-8周,1,4,主校区,逸夫教学楼,YF613,80,0
其他部处,00S052T,科技文献检索,02,1.0,考试,邓要武* ,1-8周,1,6,主校区,逸夫教学楼,YF611,80,0
其他部处,00S052T,科技文献检索,04,1.0,考试,邓要武* ,1-8周,2,6,主校区,逸夫教学楼,YF611,80,0
其他部处,00S052T,科技文献检索,06,1.0,考试,邓要武* ,1-8周,4,6,主校区,逸夫教学楼,YF606,80,0
其他部处,00S052T,科技文献检索,08,1.0,考试,邓要武* ,9-16周,1,6,主校区,逸夫教学楼,YF513,80,0
其他部处,00S052T,科技文献检索,09,1.0,考试,赵秀姣* ,9-16周,3,2,主校区,思源楼,SY308,80,0
其他部处,00S052T,科技文献检索,10,1.0,考试,赵秀姣* ,9-16周,4,2,主校区,逸夫教学楼,YF507,80,0
其他部处,00S052T,科技文献检索,11,1.0,考试,崔雁* ,1-8周,5,2,主校区,逸夫教学楼,YF611,80,0
其他部处,00S052T,科技文献检索,12,1.0,考试,崔雁* ,1-8周,4,2,主校区,逸夫教学楼,YF513,80,0
其他部处,00S052T,科技文献检索,13,1.0,考试,刘春霞* ,9-16周,2,2,主校区,逸夫教学楼,YF305,80,0
其他部处,00S084T,主要实验室及功能介绍-A1,01,1.0,考查,实践教师* ,1-8周,1,5,主校区,,不要教室,20,1
其他部处,00S084T,主要实验室及功能介绍-A1,02,1.0,考查,实践教师* ,9-16周,1,5,主校区,,不要教室,20,1
其他部处,00S085T,主要实验室及功能介绍-A2,01,1.0,考查,实践教师* ,1-8周,2,5,主校区,,不要教室,20,0
其他部处,00S085T,主要实验室及功能介绍-A2,02,1.0,考查,实践教师* ,9-16周,2,5,主校区,,不要教室,20,2
其他部处,00S086T,主要实验室及功能介绍-A3,01,1.0,考查,实践教师* ,1-8周,3,5,主校区,,不要教室,20,0
其他部处,00S086T,主要实验室及功能介绍-A3,02,1.0,考查,实践教师* ,9-16周,3,5,主校区,,不要教室,20,0
其他部处,00S087T,主要实验室及功能介绍-B1,01,1.0,考查,实践教师* ,1-8周,1,6,主校区,,不要教室,30,0
其他部处,00S087T,主要实验室及功能介绍-B1,02,1.0,考查,实践教师* ,9-16周,1,6,主校区,,不要教室,30,0
其他部处,00S088T,主要实验室及功能介绍-B2,01,1.0,考查,实践教师* ,1-8周,2,6,主校区,,不要教室,30,0
其他部处,00S088T,主要实验室及功能介绍-B2,02,1.0,考查,实践教师* ,9-16周,2,6,主校区,,不要教室,30,1
其他部处,00S089T,主要实验室及功能介绍-C1,01,1.0,考查,实践教师* ,1-8周,4,6,主校区,,不要教室,40,0
其他部处,00S089T,主要实验室及功能介绍-C1,02,1.0,考查,实践教师* ,9-16周,4,6,主校区,,不要教室,40,1
其他部处,00S090T,主要实验室及功能介绍-C2,01,1.0,考查,实践教师* ,1-8周,5,6,主校区,,不要教室,30,0
其他部处,00S090T,主要实验室及功能介绍-C2,02,1.0,考查,实践教师* ,9-16周,5,6,主校区,,不要教室,30,0
其他部处,00S091T,主要实验室前沿讲座课程-A1,01,0.5,考查,实践教师* ,"3-4,6-7周上",2,5,主校区,逸夫教学楼,YF510,100,4
其他部处,00S092T,主要实验室前沿讲座课程-A2,01,0.5,考查,实践教师* ,"3-4,6-7周上",4,4,主校区,逸夫教学楼,YF510,100,0
其他部处,00S093T,主要实验室前沿讲座课程-A3,01,0.5,考查,实践教师* ,9-12周上,4,6,主校区,逸夫教学楼,YF510,100,0
其他部处,00S094T,主要实验室前沿讲座课程-A4,01,0.5,考查,实践教师* ,9-12周上,1,6,主校区,逸夫教学楼,YF510,100,0
其他部处,00S095T,主要实验室前沿讲座课程-A5,01,0.5,考查,实践教师* ,6-9周上,2,6,主校区,逸夫教学楼,YF404,100,10
其他部处,00S096T,主要实验室前沿讲座课程-A6,01,0.5,考查,实践教师* ,"2-3,6-7周上",6,4,主校区,思源楼,SY106,100,0
其他部处,00S097T,主要实验室科技专题案例,01,1.0,考查,实践教师* ,"3-4,6-7周上",1,5,主校区,,不要教室,20,0
其他部处,00S097T,主要实验室科技专题案例,02,1.0,考查,实践教师* ,"3-4,6-7周上",2,5,主校区,,不要教室,20,1
其他部处,00S097T,主要实验室科技专题案例,03,1.0,考查,实践教师* ,9-12周上,1,6,主校区,,不要教室,20,0
其他部处,00S097T,主要实验室科技专题案例,04,1.0,考查,实践教师* ,9-12周上,4,5,主校区,,不要教室,20,0
其他部处,00S097T,主要实验室科技专题案例,05,1.0,考查,实践教师* ,6-9周上,4,6,主校区,,不要教室,20,0
电子信息工程学院,10L001T,光纤通信概论,01,2.0,考试,李唐军* ,1-16周,1,6,主校区,逸夫教学楼,YF106,70,0
电子信息工程学院,10L001T,光纤通信概论,02,2.0,考试,魏淮* ,1-16周,4,6,主校区,逸夫教学楼,YF209,70,45
电子信息工程学院,10L102Q,EDA原理,01,2.0,考试,袁小龙* ,1-8周,3,1,主校区,第九教学楼,东102,85,55
电子信息工程学院,10L102Q,EDA原理,01,2.0,考试,袁小龙* ,1-8周,1,2,主校区,第九教学楼,东102,85,55
电子信息工程学院,10L108Q,电信网络组织与管理,01,2.0,,杨焱* ,9-16周,2,1,主校区,第九教学楼,东101,80,0
电子信息工程学院,10L108Q,电信网络组织与管理,01,2.0,,杨焱* ,9-16周,5,2,主校区,第九教学楼,东101,80,0
电子信息工程学院,10L117Q,微波技术基础,01,2.0,考试,邵小桃* ,1-8周,2,4,主校区,逸夫教学楼,YF505,100,0
电子信息工程学院,10L117Q,微波技术基础,01,2.0,考试,邵小桃* ,1-8周,5,4,主校区,逸夫教学楼,YF505,100,0
电子信息工程学院,10L117Q,微波技术基础,02,2.0,考试,陈美娥* ,1-8周,5,4,主校区,逸夫教学楼,YF514,80,0
电子信息工程学院,10L117Q,微波技术基础,02,2.0,考试,陈美娥* ,1-8周,2,4,主校区,逸夫教学楼,YF514,80,0
电子信息工程学院,10L123Q,电子科学与技术专业导论,01,0.5,考查,骆丽* ,10-13周上,3,4,东校区,东教一楼,DQ302,5,5
电子信息工程学院,10L124Q,自动化类专业导论,02,0.5,考试,蔡伯根* ,10-13周上,3,4,东校区,东教一楼,DQ408,5,3
电子信息工程学院,10L124Q,自动化类专业导论,03,0.5,考试,蒋大明* ,10-13周上,3,4,东校区,东教一楼,DQ402,5,0
电子信息工程学院,10L135Q,现代通信概论,01,2.0,考试,荆涛* ,1-8周,3,4,主校区,逸夫教学楼,YF415,85,0
电子信息工程学院,10L135Q,现代通信概论,01,2.0,考试,荆涛* ,1-8周,5,4,主校区,逸夫教学楼,YF415,85,0
电子信息工程学院,10L135Q,现代通信概论,02,2.0,考试,谈振辉* 徐少毅 ,1-8周,3,4,主校区,逸夫教学楼,YF413,80,0
电子信息工程学院,10L135Q,现代通信概论,02,2.0,考试,谈振辉* 徐少毅 ,1-8周,5,4,主校区,逸夫教学楼,YF413,80,0
电子信息工程学院,10L135Q,现代通信概论,03,2.0,考试,霍炎* ,1-8周,5,4,主校区,逸夫教学楼,YF414,80,22
电子信息工程学院,10L135Q,现代通信概论,03,2.0,考试,霍炎* ,1-8周,3,4,主校区,逸夫教学楼,YF414,80,22
电子信息工程学院,10L137Q,现代信息网络技术,01,2.0,考试,沈波* ,9-16周,1,2,主校区,逸夫教学楼,YF104,70,0
电子信息工程学院,10L137Q,现代信息网络技术,01,2.0,考试,沈波* ,9-16周,4,1,主校区,逸夫教学楼,YF104,70,0
电子信息工程学院,10L141Q,信息安全技术,01,2.0,考试,毕红军* ,1-8周,5,2,主校区,第九教学楼,东101,80,0
电子信息工程学院,10L141Q,信息安全技术,01,2.0,考试,毕红军* ,1-8周,3,4,主校区,第九教学楼,东101,80,0
电子信息工程学院,10L141Q,信息安全技术,02,2.0,考试,穆海冰* ,1-8周,3,4,主校区,第九教学楼,东102,80,0
电子信息工程学院,10L141Q,信息安全技术,02,2.0,考试,穆海冰* ,1-8周,5,2,主校区,第九教学楼,东102,80,0
电子信息工程学院,10L141Q,信息安全技术,03,2.0,考试,贾凡* ,1-8周,3,4,主校区,第九教学楼,东201,80,1
电子信息工程学院,10L141Q,信息安全技术,03,2.0,考试,贾凡* ,1-8周,5,2,主校区,第九教学楼,东201,80,1
电子信息工程学院,10L207Q,数字集成电路设计,01,4.0,考试,骆丽* 周晓波 ,"2,4,6,8,10,12,14,16周上",3,1,主校区,逸夫教学楼,YF406,105,29
电子信息工程学院,10L207Q,数字集成电路设计,01,4.0,考试,骆丽* 周晓波 ,1-16周,5,2,主校区,逸夫教学楼,YF406,105,29
电子信息工程学院,10L207Q,数字集成电路设计,01,4.0,考试,骆丽* 周晓波 ,1-16周,2,1,主校区,逸夫教学楼,YF406,105,29
电子信息工程学院,10L215Q,微电子新技术讲座,01,2.0,考试,骆丽* ,9-16周,4,4,主校区,逸夫教学楼,YF514,85,23
电子信息工程学院,10L215Q,微电子新技术讲座,01,2.0,考试,骆丽* ,9-16周,2,2,主校区,逸夫教学楼,YF514,85,23
电子信息工程学院,10L219Q,半导体工艺学,01,2.0,考试,李修函* ,1-8周,1,2,主校区,第九教学楼,东101,90,33
电子信息工程学院,10L219Q,半导体工艺学,01,2.0,考试,李修函* ,1-8周,4,2,主校区,第九教学楼,东101,90,33
电子信息工程学院,10L226Q,RF COMS 集成电路设计,01,3.0,考试,刘章发* ,1-12周上,1,1,主校区,第九教学楼,东101,90,36
电子信息工程学院,10L226Q,RF COMS 集成电路设计,01,3.0,考试,刘章发* ,1-12周上,4,1,主校区,第九教学楼,东101,90,36
电子信息工程学院,10L228Q,混合信号电路设计,01,2.0,考试,李金城* ,1-8周,2,1,主校区,第九教学楼,东101,90,59
电子信息工程学院,10L228Q,混合信号电路设计,01,2.0,考试,李金城* ,1-8周,5,1,主校区,第九教学楼,东101,90,59
电子信息工程学院,10L236Q,GPS接收机原理与设计,01,2.0,考试,李金城* ,9-16周,2,1,主校区,第九教学楼,东102,90,64
电子信息工程学院,10L236Q,GPS接收机原理与设计,01,2.0,考试,李金城* ,9-16周,5,1,主校区,第九教学楼,东102,90,64
电子信息工程学院,10L300Q,通信原理,01,4.0,考试,秦雅娟* ,1-16周,1,2,主校区,逸夫教学楼,YF508,70,9
电子信息工程学院,10L300Q,通信原理,01,4.0,考试,秦雅娟* ,"2,4,6,8,10,12,14,16周上",5,1,主校区,逸夫教学楼,YF613,70,9
电子信息工程学院,10L300Q,通信原理,01,4.0,考试,秦雅娟* ,1-16周,3,1,主校区,逸夫教学楼,YF508,70,9
电子信息工程学院,10L300Q,通信原理,02,4.0,考试,郭宇春* ,1-16周,3,1,主校区,逸夫教学楼,YF403,50,3
电子信息工程学院,10L300Q,通信原理,02,4.0,考试,郭宇春* ,"2,4,6,8,10,12,14,16周上",5,1,主校区,逸夫教学楼,YF403,50,3
电子信息工程学院,10L300Q,通信原理,02,4.0,考试,郭宇春* ,1-16周,1,2,主校区,逸夫教学楼,YF403,50,3
电子信息工程学院,10L300Q,通信原理,03,4.0,考试,张星* ,1-16周,3,1,主校区,思源楼,SY210,100,9
电子信息工程学院,10L300Q,通信原理,03,4.0,考试,张星* ,1-16周,1,2,主校区,思源楼,SY210,100,9
电子信息工程学院,10L300Q,通信原理,03,4.0,考试,张星* ,"2,4,6,8,10,12,14,16周上",5,1,主校区,思源楼,SY210,100,9
电子信息工程学院,10L300Q,通信原理,04,4.0,考试,张立军* ,"2,4,6,8,10,12,14,16周上",5,1,主校区,逸夫教学楼,YF414,70,5
电子信息工程学院,10L300Q,通信原理,04,4.0,考试,张立军* ,1-16周,1,2,主校区,逸夫教学楼,YF409,70,5
电子信息工程学院,10L300Q,通信原理,04,4.0,考试,张立军* ,1-16周,3,1,主校区,逸夫教学楼,YF414,70,5
电子信息工程学院,10L300Q,通信原理,05,4.0,考试,郑宏云* ,1-16周,3,1,主校区,逸夫教学楼,YF415,70,9
电子信息工程学院,10L300Q,通信原理,05,4.0,考试,郑宏云* ,1-16周,1,2,主校区,逸夫教学楼,YF507,70,9
电子信息工程学院,10L300Q,通信原理,05,4.0,考试,郑宏云* ,"2,4,6,8,10,12,14,16周上",5,1,主校区,逸夫教学楼,YF415,70,9
电子信息工程学院,10L304Q,通信工程专业导论,01,0.5,考查,郭宇春* ,10-13周上,1,5,东校区,东教一楼,DQ505,5,0
电子信息工程学院,10L304Q,通信工程专业导论,02,0.5,考查,郭宇春* ,10-13周上,3,4,东校区,东教二楼,DQ2103,5,0
电子信息工程学院,10L309Q,数字图像处理及应用,01,2.0,考试,阮秋琦* ,1-8周,2,2,主校区,逸夫教学楼,YF610,50,19
电子信息工程学院,10L309Q,数字图像处理及应用,01,2.0,考试,阮秋琦* ,1-8周,4,2,主校区,逸夫教学楼,YF610,50,19
电子信息工程学院,10L310Q,管理信息系统(B),02,2.0,考试,穆海冰* ,1-8周,2,4,主校区,思源楼,SY101,70,46
电子信息工程学院,10L310Q,管理信息系统(B),02,2.0,考试,穆海冰* ,1-8周,4,4,主校区,思源楼,SY101,70,46
电子信息工程学院,10L316Q,天线与电波传播,01,2.0,考试,闻映红* ,1-8周,5,1,主校区,第九教学楼,东102,70,1
电子信息工程学院,10L316Q,天线与电波传播,01,2.0,考试,闻映红* ,1-8周,2,1,主校区,第九教学楼,东102,70,1
电子信息工程学院,10L331Q,通信电子线路,01,2.0,考试,路勇* ,1-8周,2,1,主校区,思源楼,SY411,190,52
电子信息工程学院,10L331Q,通信电子线路,01,2.0,考试,路勇* ,1-8周,4,2,主校区,思源楼,SY411,190,52
电子信息工程学院,10L331Q,通信电子线路,02,2.0,考试,任希* ,1-8周,4,2,主校区,第九教学楼,中102,190,85
电子信息工程学院,10L331Q,通信电子线路,02,2.0,考试,任希* ,1-8周,2,1,主校区,第九教学楼,中102,190,85
电子信息工程学院,10L331Q,通信电子线路,03,2.0,考试,王根英* ,1-8周,2,1,主校区,思源西楼,SX505,100,17
电子信息工程学院,10L331Q,通信电子线路,03,2.0,考试,王根英* ,1-8周,4,2,主校区,思源西楼,SX505,100,17
电子信息工程学院,10L344Q,移动通信系统（研究性专题）,01,3.0,考试,李旭* 赵军辉 ,1-12周上,5,4,主校区,逸夫教学楼,YF403,70,49
电子信息工程学院,10L344Q,移动通信系统（研究性专题）,01,3.0,考试,李旭* 赵军辉 ,1-12周上,3,5,主校区,逸夫教学楼,YF403,70,49
电子信息工程学院,10L349Q,TCP/IP网络原理与技术,01,2.0,考试,罗洪斌* ,1-8周,5,5,主校区,逸夫教学楼,YF509,50,7
电子信息工程学院,10L349Q,TCP/IP网络原理与技术,01,2.0,考试,罗洪斌* ,1-8周,2,5,主校区,逸夫教学楼,YF509,50,7
电子信息工程学院,10L350Q,无线接入技术,01,2.0,考试,赵红礼* ,1-8周,1,6,主校区,逸夫教学楼,YF401,50,23
电子信息工程学院,10L350Q,无线接入技术,01,2.0,考试,赵红礼* ,1-8周,4,6,主校区,逸夫教学楼,YF401,50,23
电子信息工程学院,10L352Q,光纤传感技术与应用,01,2.0,考试,谭中伟* ,1-16周,1,6,主校区,逸夫教学楼,YF307,70,65
电子信息工程学院,10L352Q,光纤传感技术与应用,02,2.0,考试,曹继红* ,1-16周,2,6,主校区,逸夫教学楼,YF313,70,63
电子信息工程学院,10L352Q,光纤传感技术与应用,03,2.0,考试,卫延* ,1-16周,4,6,主校区,逸夫教学楼,YF507,70,61
电子信息工程学院,10L402Q,通信原理（B）,01,2.0,考试,李纯喜* ,1-8周,4,1,主校区,第九教学楼,东201,60,31
电子信息工程学院,10L402Q,通信原理（B）,01,2.0,考试,李纯喜* ,1-8周,1,1,主校区,第九教学楼,东201,60,31
电子信息工程学院,10L403Q,GPS技术及应用,01,2.0,考试,上官伟* ,1-8周,4,2,主校区,第九教学楼,东201,102,45
